"STATISTIC","Statistic","TLIST(D1)","Date","C02196V02652","County","UNIT","VALUE"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE1303","Mayo","%","45.3"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE1304","Roscommon","%","46.2"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE21","Dublin","%","66.4"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE2201","Kildare","%","49.6"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE2202","Meath","%","52.2"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE2203","Wicklow","%","52.2"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE2301","Clare","%","48.9"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE2401","Carlow","%","44.6"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE2402","Kilkenny","%","52.1"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE05122","Tipperary","%","48.4"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE2406","Wexford","%","52.4"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE2503","Kerry","%","51"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE05316","Cork","%","53.9"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE04225","Galway","%","48.2"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE05118","Limerick","%","54.7"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE05225","Waterford","%","58.6"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","-","State","%","55.8"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1101","Cavan","%","49.9"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1102","Donegal","%","47.7"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1103","Leitrim","%","46.7"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1104","Louth","%","61.2"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1105","Monaghan","%","51.3"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1106","Sligo","%","47.5"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1201","Laois","%","48.4"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1202","Longford","%","50"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1203","Offaly","%","48"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1204","Westmeath","%","54.9"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1303","Mayo","%","45.3"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE1304","Roscommon","%","46.2"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE21","Dublin","%","67"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE2201","Kildare","%","49.9"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE2202","Meath","%","52.5"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE2203","Wicklow","%","52.1"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE2301","Clare","%","49"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE2401","Carlow","%","44.3"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE2402","Kilkenny","%","51.6"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE05122","Tipperary","%","48.2"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE2406","Wexford","%","52.3"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE2503","Kerry","%","51.4"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE05316","Cork","%","54"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE04225","Galway","%","48.3"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE05118","Limerick","%","54.8"
"SLI01C01","Staying Local Indicator","2020M01D04","2020 January 04","IE05225","Waterford","%","58.3"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","-","State","%","56.6"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1101","Cavan","%","50.8"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1102","Donegal","%","48.3"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1103","Leitrim","%","47.8"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1104","Louth","%","62"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1105","Monaghan","%","52.3"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1106","Sligo","%","48.1"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1201","Laois","%","49.4"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1202","Longford","%","50.7"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1203","Offaly","%","48.7"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1204","Westmeath","%","55.7"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1303","Mayo","%","46.2"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE1304","Roscommon","%","47"
