,Age Group,VALUE
0,20 - 24 years,68476.70370370371
1,25 - 34 years,89303.0925925926
2,35 - 44 years,89532.64814814815
3,45 - 54 years,71106.25925925926
4,55 - 59 years,28208.74074074074
5,60 years and over,25130.796296296296
6,Under 20 years,20025.40740740741
