"Statistic","Date","County","UNIT","VALUE"
"Staying Local Indicator","2020 February 28","Leitrim","%","45.3"
"Staying Local Indicator","2020 February 28","Louth","%","58.8"
"Staying Local Indicator","2020 February 28","Monaghan","%","49.3"
"Staying Local Indicator","2020 February 28","Sligo","%","49.4"
"Staying Local Indicator","2020 February 28","Laois","%","47"
"Staying Local Indicator","2020 February 28","Longford","%","48.3"
"Staying Local Indicator","2020 February 28","Offaly","%","46.9"
"Staying Local Indicator","2020 February 28","Westmeath","%","53.8"
"Staying Local Indicator","2020 February 28","Mayo","%","45.6"
"Staying Local Indicator","2020 February 28","Roscommon","%","45"
"Staying Local Indicator","2020 February 28","Dublin","%","70.6"
"Staying Local Indicator","2020 February 28","Kildare","%","48.3"
"Staying Local Indicator","2020 February 28","Meath","%","49.4"
"Staying Local Indicator","2020 February 28","Wicklow","%","51.3"
"Staying Local Indicator","2020 February 28","Clare","%","48.7"
"Staying Local Indicator","2020 February 28","Carlow","%","44.9"
"Staying Local Indicator","2020 February 28","Kilkenny","%","50.8"
"Staying Local Indicator","2020 February 28","Tipperary","%","47.6"
"Staying Local Indicator","2020 February 28","Wexford","%","48.6"
"Staying Local Indicator","2020 February 28","Kerry","%","52.9"
"Staying Local Indicator","2020 February 28","Cork","%","55.7"
"Staying Local Indicator","2020 February 28","Galway","%","52"
"Staying Local Indicator","2020 February 28","Limerick","%","57.2"
"Staying Local Indicator","2020 February 28","Waterford","%","59.1"
"Staying Local Indicator","2020 February 29","State","%","57"
"Staying Local Indicator","2020 February 29","Cavan","%","48"
"Staying Local Indicator","2020 February 29","Donegal","%","47.4"
"Staying Local Indicator","2020 February 29","Leitrim","%","45.6"
"Staying Local Indicator","2020 February 29","Louth","%","59"
"Staying Local Indicator","2020 February 29","Monaghan","%","49.3"
"Staying Local Indicator","2020 February 29","Sligo","%","49.6"
"Staying Local Indicator","2020 February 29","Laois","%","47.3"
"Staying Local Indicator","2020 February 29","Longford","%","48.6"
"Staying Local Indicator","2020 February 29","Offaly","%","47.2"
"Staying Local Indicator","2020 February 29","Westmeath","%","54"
"Staying Local Indicator","2020 February 29","Mayo","%","45.9"
"Staying Local Indicator","2020 February 29","Roscommon","%","45.4"
"Staying Local Indicator","2020 February 29","Dublin","%","70.8"
"Staying Local Indicator","2020 February 29","Kildare","%","48.4"
"Staying Local Indicator","2020 February 29","Meath","%","49.6"
"Staying Local Indicator","2020 February 29","Wicklow","%","51.5"
"Staying Local Indicator","2020 February 29","Clare","%","49.7"
"Staying Local Indicator","2020 February 29","Carlow","%","45"
"Staying Local Indicator","2020 February 29","Kilkenny","%","51"
"Staying Local Indicator","2020 February 29","Tipperary","%","47.9"
"Staying Local Indicator","2020 February 29","Wexford","%","48.7"
"Staying Local Indicator","2020 February 29","Kerry","%","53.2"
"Staying Local Indicator","2020 February 29","Cork","%","55.9"
"Staying Local Indicator","2020 February 29","Galway","%","52.9"
"Staying Local Indicator","2020 February 29","Limerick","%","57.5"
"Staying Local Indicator","2020 February 29","Waterford","%","59.2"
"Staying Local Indicator","2020 March 01","State","%","55.7"
"Staying Local Indicator","2020 March 01","Cavan","%","46.3"
"Staying Local Indicator","2020 March 01","Donegal","%","45.7"
"Staying Local Indicator","2020 March 01","Leitrim","%","44.1"
"Staying Local Indicator","2020 March 01","Louth","%","57.8"
"Staying Local Indicator","2020 March 01","Monaghan","%","47.9"
"Staying Local Indicator","2020 March 01","Sligo","%","48.1"
"Staying Local Indicator","2020 March 01","Laois","%","45.6"
"Staying Local Indicator","2020 March 01","Longford","%","47"
"Staying Local Indicator","2020 March 01","Offaly","%","45.7"
"Staying Local Indicator","2020 March 01","Westmeath","%","53"
"Staying Local Indicator","2020 March 01","Mayo","%","44.5"
"Staying Local Indicator","2020 March 01","Roscommon","%","44"
"Staying Local Indicator","2020 March 01","Dublin","%","69.9"
"Staying Local Indicator","2020 March 01","Kildare","%","47.2"
"Staying Local Indicator","2020 March 01","Meath","%","48.2"
"Staying Local Indicator","2020 March 01","Wicklow","%","49.9"
"Staying Local Indicator","2020 March 01","Clare","%","48.2"
"Staying Local Indicator","2020 March 01","Carlow","%","43.3"
"Staying Local Indicator","2020 March 01","Kilkenny","%","49.6"
"Staying Local Indicator","2020 March 01","Tipperary","%","46.3"
"Staying Local Indicator","2020 March 01","Wexford","%","47"
"Staying Local Indicator","2020 March 01","Kerry","%","51.8"
"Staying Local Indicator","2020 March 01","Cork","%","54.4"
"Staying Local Indicator","2020 March 01","Galway","%","51.7"
"Staying Local Indicator","2020 March 01","Limerick","%","56.5"
"Staying Local Indicator","2020 March 01","Waterford","%","57.6"
"Staying Local Indicator","2020 March 02","State","%","55.7"
"Staying Local Indicator","2020 March 02","Cavan","%","46.4"
"Staying Local Indicator","2020 March 02","Donegal","%","45.4"
"Staying Local Indicator","2020 March 02","Leitrim","%","44.2"
"Staying Local Indicator","2020 March 02","Louth","%","57.7"
"Staying Local Indicator","2020 March 02","Monaghan","%","47.9"
"Staying Local Indicator","2020 March 02","Sligo","%","47.9"
"Staying Local Indicator","2020 March 02","Laois","%","45.7"
"Staying Local Indicator","2020 March 02","Longford","%","47.2"
"Staying Local Indicator","2020 March 02","Offaly","%","45.9"
"Staying Local Indicator","2020 March 02","Westmeath","%","53"
"Staying Local Indicator","2020 March 02","Mayo","%","44.5"
"Staying Local Indicator","2020 March 02","Roscommon","%","44.1"
"Staying Local Indicator","2020 March 02","Dublin","%","70"
"Staying Local Indicator","2020 March 02","Kildare","%","47.1"
"Staying Local Indicator","2020 March 02","Meath","%","48.2"
"Staying Local Indicator","2020 March 02","Wicklow","%","49.8"
"Staying Local Indicator","2020 March 02","Clare","%","48.2"
"Staying Local Indicator","2020 March 02","Carlow","%","43.3"
"Staying Local Indicator","2020 March 02","Kilkenny","%","49.7"
"Staying Local Indicator","2020 March 02","Tipperary","%","46.4"
"Staying Local Indicator","2020 March 02","Wexford","%","47"
"Staying Local Indicator","2020 March 02","Kerry","%","51.7"
"Staying Local Indicator","2020 March 02","Cork","%","54.4"
"Staying Local Indicator","2020 March 02","Galway","%","51.7"
"Staying Local Indicator","2020 March 02","Limerick","%","56.6"
"Staying Local Indicator","2020 March 02","Waterford","%","57.5"
"Staying Local Indicator","2020 March 03","State","%","56.3"
"Staying Local Indicator","2020 March 03","Cavan","%","47.2"
"Staying Local Indicator","2020 March 03","Donegal","%","46.3"
"Staying Local Indicator","2020 March 03","Leitrim","%","45.1"
"Staying Local Indicator","2020 March 03","Louth","%","58.3"
"Staying Local Indicator","2020 March 03","Monaghan","%","48.8"
"Staying Local Indicator","2020 March 03","Sligo","%","48.6"
"Staying Local Indicator","2020 March 03","Laois","%","46.4"
"Staying Local Indicator","2020 March 03","Longford","%","48.1"
"Staying Local Indicator","2020 March 03","Offaly","%","46.5"
"Staying Local Indicator","2020 March 03","Westmeath","%","53.6"
"Staying Local Indicator","2020 March 03","Mayo","%","45.2"
"Staying Local Indicator","2020 March 03","Roscommon","%","44.9"
"Staying Local Indicator","2020 March 03","Dublin","%","70.5"
"Staying Local Indicator","2020 March 03","Kildare","%","47.7"
"Staying Local Indicator","2020 March 03","Meath","%","48.9"
"Staying Local Indicator","2020 March 03","Wicklow","%","50.2"
"Staying Local Indicator","2020 March 03","Clare","%","48.7"
"Staying Local Indicator","2020 March 03","Carlow","%","44"
"Staying Local Indicator","2020 March 03","Kilkenny","%","50.3"
"Staying Local Indicator","2020 March 03","Tipperary","%","47.1"
"Staying Local Indicator","2020 March 03","Wexford","%","47.8"
"Staying Local Indicator","2020 March 03","Kerry","%","52"
"Staying Local Indicator","2020 March 03","Cork","%","55"
"Staying Local Indicator","2020 March 03","Galway","%","52.2"
"Staying Local Indicator","2020 March 03","Limerick","%","57.1"
"Staying Local Indicator","2020 March 03","Waterford","%","58.1"
"Staying Local Indicator","2020 March 04","State","%","57"
"Staying Local Indicator","2020 March 04","Cavan","%","47.9"
"Staying Local Indicator","2020 March 04","Donegal","%","47.3"
"Staying Local Indicator","2020 March 04","Leitrim","%","45.9"
"Staying Local Indicator","2020 March 04","Louth","%","58.9"
"Staying Local Indicator","2020 March 04","Monaghan","%","49.7"
"Staying Local Indicator","2020 March 04","Sligo","%","49.5"
"Staying Local Indicator","2020 March 04","Laois","%","47.3"
"Staying Local Indicator","2020 March 04","Longford","%","48.9"
"Staying Local Indicator","2020 March 04","Offaly","%","47.3"
"Staying Local Indicator","2020 March 04","Westmeath","%","54.1"
"Staying Local Indicator","2020 March 04","Mayo","%","46"
"Staying Local Indicator","2020 March 04","Roscommon","%","45.8"
"Staying Local Indicator","2020 March 04","Dublin","%","71.1"
"Staying Local Indicator","2020 March 04","Kildare","%","48.4"
"Staying Local Indicator","2020 March 04","Meath","%","49.7"
"Staying Local Indicator","2020 March 04","Wicklow","%","50.9"
"Staying Local Indicator","2020 March 04","Clare","%","49.5"
"Staying Local Indicator","2020 March 04","Carlow","%","44.6"
"Staying Local Indicator","2020 March 04","Kilkenny","%","51"
"Staying Local Indicator","2020 March 04","Tipperary","%","47.8"
"Staying Local Indicator","2020 March 04","Wexford","%","48.6"
"Staying Local Indicator","2020 March 04","Kerry","%","52.6"
"Staying Local Indicator","2020 March 04","Cork","%","55.7"
"Staying Local Indicator","2020 March 04","Galway","%","52.7"
"Staying Local Indicator","2020 March 04","Limerick","%","57.6"
"Staying Local Indicator","2020 March 04","Waterford","%","58.7"
"Staying Local Indicator","2020 March 05","State","%","57.8"
"Staying Local Indicator","2020 March 05","Cavan","%","48.8"
"Staying Local Indicator","2020 March 05","Donegal","%","48.5"
"Staying Local Indicator","2020 March 05","Leitrim","%","47.4"
"Staying Local Indicator","2020 March 05","Louth","%","59.6"
"Staying Local Indicator","2020 March 05","Monaghan","%","50.6"
"Staying Local Indicator","2020 March 05","Sligo","%","50.3"
"Staying Local Indicator","2020 March 05","Laois","%","48.3"
"Staying Local Indicator","2020 March 05","Longford","%","49.9"
"Staying Local Indicator","2020 March 05","Offaly","%","48.1"
"Staying Local Indicator","2020 March 05","Westmeath","%","54.6"
"Staying Local Indicator","2020 March 05","Mayo","%","46.9"
"Staying Local Indicator","2020 March 05","Roscommon","%","46.7"
"Staying Local Indicator","2020 March 05","Dublin","%","71.7"
"Staying Local Indicator","2020 March 05","Kildare","%","49.2"
"Staying Local Indicator","2020 March 05","Meath","%","50.5"
"Staying Local Indicator","2020 March 05","Wicklow","%","51.6"
"Staying Local Indicator","2020 March 05","Clare","%","50.3"
"Staying Local Indicator","2020 March 05","Carlow","%","45.4"
"Staying Local Indicator","2020 March 05","Kilkenny","%","51.7"
"Staying Local Indicator","2020 March 05","Tipperary","%","48.6"
"Staying Local Indicator","2020 March 05","Wexford","%","49.5"
"Staying Local Indicator","2020 March 05","Kerry","%","53.4"
"Staying Local Indicator","2020 March 05","Cork","%","56.4"
"Staying Local Indicator","2020 March 05","Galway","%","53.6"
"Staying Local Indicator","2020 March 05","Limerick","%","58.3"
"Staying Local Indicator","2020 March 05","Waterford","%","59.5"
"Staying Local Indicator","2020 March 06","State","%","58.4"
"Staying Local Indicator","2020 March 06","Cavan","%","49.5"
"Staying Local Indicator","2020 March 06","Donegal","%","49.2"
"Staying Local Indicator","2020 March 06","Leitrim","%","48"
"Staying Local Indicator","2020 March 06","Louth","%","60.1"
"Staying Local Indicator","2020 March 06","Monaghan","%","51.1"
"Staying Local Indicator","2020 March 06","Sligo","%","51.1"
"Staying Local Indicator","2020 March 06","Laois","%","49"
"Staying Local Indicator","2020 March 06","Longford","%","50.5"
"Staying Local Indicator","2020 March 06","Offaly","%","48.6"
"Staying Local Indicator","2020 March 06","Westmeath","%","55.1"
"Staying Local Indicator","2020 March 06","Mayo","%","47.6"
"Staying Local Indicator","2020 March 06","Roscommon","%","47.3"
"Staying Local Indicator","2020 March 06","Dublin","%","72.4"
"Staying Local Indicator","2020 March 06","Kildare","%","50.1"
"Staying Local Indicator","2020 March 06","Meath","%","51.2"
"Staying Local Indicator","2020 March 06","Wicklow","%","52.1"
"Staying Local Indicator","2020 March 06","Clare","%","51.1"
"Staying Local Indicator","2020 March 06","Carlow","%","46.2"
"Staying Local Indicator","2020 March 06","Kilkenny","%","52.3"
"Staying Local Indicator","2020 March 06","Tipperary","%","49.3"
"Staying Local Indicator","2020 March 06","Wexford","%","50.1"
"Staying Local Indicator","2020 March 06","Kerry","%","53.9"
"Staying Local Indicator","2020 March 06","Cork","%","57.1"
"Staying Local Indicator","2020 March 06","Galway","%","54.3"
"Staying Local Indicator","2020 March 06","Limerick","%","59"
"Staying Local Indicator","2020 March 06","Waterford","%","59.9"
"Staying Local Indicator","2020 March 07","State","%","58.4"
"Staying Local Indicator","2020 March 07","Cavan","%","49.3"
"Staying Local Indicator","2020 March 07","Donegal","%","49.3"
"Staying Local Indicator","2020 March 07","Leitrim","%","47.8"
"Staying Local Indicator","2020 March 07","Louth","%","59.9"
"Staying Local Indicator","2020 March 07","Monaghan","%","51.1"
"Staying Local Indicator","2020 March 07","Sligo","%","51"
"Staying Local Indicator","2020 March 07","Laois","%","48.9"
"Staying Local Indicator","2020 March 07","Longford","%","50.5"
"Staying Local Indicator","2020 March 07","Offaly","%","48.5"
"Staying Local Indicator","2020 March 07","Westmeath","%","55.1"
"Staying Local Indicator","2020 March 07","Mayo","%","47.5"
"Staying Local Indicator","2020 March 07","Roscommon","%","47"
"Staying Local Indicator","2020 March 07","Dublin","%","72.5"
"Staying Local Indicator","2020 March 07","Kildare","%","50.4"
"Staying Local Indicator","2020 March 07","Meath","%","51.2"
"Staying Local Indicator","2020 March 07","Wicklow","%","51.8"
"Staying Local Indicator","2020 March 07","Clare","%","50.4"
"Staying Local Indicator","2020 March 07","Carlow","%","46.3"
"Staying Local Indicator","2020 March 07","Kilkenny","%","52.1"
"Staying Local Indicator","2020 March 07","Tipperary","%","49.2"
"Staying Local Indicator","2020 March 07","Wexford","%","50.1"
"Staying Local Indicator","2020 March 07","Kerry","%","53.9"
"Staying Local Indicator","2020 March 07","Cork","%","57.1"
"Staying Local Indicator","2020 March 07","Galway","%","53.7"
"Staying Local Indicator","2020 March 07","Limerick","%","59"
"Staying Local Indicator","2020 March 07","Waterford","%","60"
"Staying Local Indicator","2020 March 08","State","%","58.7"
"Staying Local Indicator","2020 March 08","Cavan","%","49.6"
"Staying Local Indicator","2020 March 08","Donegal","%","49.5"
"Staying Local Indicator","2020 March 08","Leitrim","%","48"
"Staying Local Indicator","2020 March 08","Louth","%","60"
"Staying Local Indicator","2020 March 08","Monaghan","%","51.3"
"Staying Local Indicator","2020 March 08","Sligo","%","51.2"
"Staying Local Indicator","2020 March 08","Laois","%","49.3"
"Staying Local Indicator","2020 March 08","Longford","%","50.8"
"Staying Local Indicator","2020 March 08","Offaly","%","48.6"
"Staying Local Indicator","2020 March 08","Westmeath","%","55.2"
"Staying Local Indicator","2020 March 08","Mayo","%","47.9"
"Staying Local Indicator","2020 March 08","Roscommon","%","47.3"
"Staying Local Indicator","2020 March 08","Dublin","%","72.6"
"Staying Local Indicator","2020 March 08","Kildare","%","50.7"
"Staying Local Indicator","2020 March 08","Meath","%","51.4"
"Staying Local Indicator","2020 March 08","Wicklow","%","52"
"Staying Local Indicator","2020 March 08","Clare","%","51"
"Staying Local Indicator","2020 March 08","Carlow","%","46.7"
"Staying Local Indicator","2020 March 08","Kilkenny","%","52.3"
"Staying Local Indicator","2020 March 08","Tipperary","%","49.4"
"Staying Local Indicator","2020 March 08","Wexford","%","50.5"
"Staying Local Indicator","2020 March 08","Kerry","%","54.3"
"Staying Local Indicator","2020 March 08","Cork","%","57.6"
"Staying Local Indicator","2020 March 08","Galway","%","54"
"Staying Local Indicator","2020 March 08","Limerick","%","59.2"
"Staying Local Indicator","2020 March 08","Waterford","%","60.3"
"Staying Local Indicator","2020 March 09","State","%","59.2"
"Staying Local Indicator","2020 March 09","Cavan","%","50.2"
"Staying Local Indicator","2020 March 09","Donegal","%","50.2"
"Staying Local Indicator","2020 March 09","Leitrim","%","48.6"
"Staying Local Indicator","2020 March 09","Louth","%","60.6"
"Staying Local Indicator","2020 March 09","Monaghan","%","51.8"
"Staying Local Indicator","2020 March 09","Sligo","%","52.1"
"Staying Local Indicator","2020 March 09","Laois","%","49.8"
"Staying Local Indicator","2020 March 09","Longford","%","51.4"
"Staying Local Indicator","2020 March 09","Offaly","%","49"
"Staying Local Indicator","2020 March 09","Westmeath","%","55.8"
"Staying Local Indicator","2020 March 09","Mayo","%","48.5"
"Staying Local Indicator","2020 March 09","Roscommon","%","47.8"
"Staying Local Indicator","2020 March 09","Dublin","%","73.1"
"Staying Local Indicator","2020 March 09","Kildare","%","51.3"
"Staying Local Indicator","2020 March 09","Meath","%","52"
"Staying Local Indicator","2020 March 09","Wicklow","%","52.7"
"Staying Local Indicator","2020 March 09","Clare","%","51.6"
"Staying Local Indicator","2020 March 09","Carlow","%","47.4"
"Staying Local Indicator","2020 March 09","Kilkenny","%","52.8"
"Staying Local Indicator","2020 March 09","Tipperary","%","49.9"
"Staying Local Indicator","2020 March 09","Wexford","%","51.2"
"Staying Local Indicator","2020 March 09","Kerry","%","54.9"
"Staying Local Indicator","2020 March 09","Cork","%","58.3"
"Staying Local Indicator","2020 March 09","Galway","%","54.6"
"Staying Local Indicator","2020 March 09","Limerick","%","59.7"
"Staying Local Indicator","2020 March 09","Waterford","%","60.8"
"Staying Local Indicator","2020 March 10","State","%","59.6"
"Staying Local Indicator","2020 March 10","Cavan","%","50.5"
"Staying Local Indicator","2020 March 10","Donegal","%","50.5"
"Staying Local Indicator","2020 March 10","Leitrim","%","48.7"
"Staying Local Indicator","2020 March 10","Louth","%","60.9"
"Staying Local Indicator","2020 March 10","Monaghan","%","52"
"Staying Local Indicator","2020 March 10","Sligo","%","52.3"
"Staying Local Indicator","2020 March 10","Laois","%","49.9"
"Staying Local Indicator","2020 March 10","Longford","%","51.6"
"Staying Local Indicator","2020 March 10","Offaly","%","49.3"
"Staying Local Indicator","2020 March 10","Westmeath","%","56"
"Staying Local Indicator","2020 March 10","Mayo","%","48.8"
"Staying Local Indicator","2020 March 10","Roscommon","%","48.2"
"Staying Local Indicator","2020 March 10","Dublin","%","73.4"
"Staying Local Indicator","2020 March 10","Kildare","%","51.8"
"Staying Local Indicator","2020 March 10","Meath","%","52.4"
"Staying Local Indicator","2020 March 10","Wicklow","%","53.2"
"Staying Local Indicator","2020 March 10","Clare","%","52.1"
"Staying Local Indicator","2020 March 10","Carlow","%","47.7"
"Staying Local Indicator","2020 March 10","Kilkenny","%","53.2"
"Staying Local Indicator","2020 March 10","Tipperary","%","50.3"
"Staying Local Indicator","2020 March 10","Wexford","%","51.5"
"Staying Local Indicator","2020 March 10","Kerry","%","55.3"
"Staying Local Indicator","2020 March 10","Cork","%","58.7"
"Staying Local Indicator","2020 March 10","Galway","%","55"
"Staying Local Indicator","2020 March 10","Limerick","%","60"
"Staying Local Indicator","2020 March 10","Waterford","%","61.2"
"Staying Local Indicator","2020 March 11","State","%","60.1"
"Staying Local Indicator","2020 March 11","Cavan","%","51.1"
"Staying Local Indicator","2020 March 11","Donegal","%","51.2"
"Staying Local Indicator","2020 March 11","Leitrim","%","49.2"
"Staying Local Indicator","2020 March 11","Louth","%","61.5"
"Staying Local Indicator","2020 March 11","Monaghan","%","52.6"
"Staying Local Indicator","2020 March 11","Sligo","%","52.6"
"Staying Local Indicator","2020 March 11","Laois","%","50.5"
"Staying Local Indicator","2020 March 11","Longford","%","52.3"
"Staying Local Indicator","2020 March 11","Offaly","%","50"
"Staying Local Indicator","2020 March 11","Westmeath","%","56.5"
"Staying Local Indicator","2020 March 11","Mayo","%","49.5"
"Staying Local Indicator","2020 March 11","Roscommon","%","48.7"
"Staying Local Indicator","2020 March 11","Dublin","%","73.8"
"Staying Local Indicator","2020 March 11","Kildare","%","52.3"
"Staying Local Indicator","2020 March 11","Meath","%","53"
"Staying Local Indicator","2020 March 11","Wicklow","%","53.8"
"Staying Local Indicator","2020 March 11","Clare","%","52.7"
"Staying Local Indicator","2020 March 11","Carlow","%","48.5"
"Staying Local Indicator","2020 March 11","Kilkenny","%","53.7"
"Staying Local Indicator","2020 March 11","Tipperary","%","50.9"
"Staying Local Indicator","2020 March 11","Wexford","%","52.1"
"Staying Local Indicator","2020 March 11","Kerry","%","56"
"Staying Local Indicator","2020 March 11","Cork","%","59.2"
"Staying Local Indicator","2020 March 11","Galway","%","55.7"
"Staying Local Indicator","2020 March 11","Limerick","%","60.6"
"Staying Local Indicator","2020 March 11","Waterford","%","61.7"
"Staying Local Indicator","2020 March 12","State","%","60.7"
"Staying Local Indicator","2020 March 12","Cavan","%","51.4"
"Staying Local Indicator","2020 March 12","Donegal","%","51.8"
"Staying Local Indicator","2020 March 12","Leitrim","%","49.7"
"Staying Local Indicator","2020 March 12","Louth","%","62.1"
"Staying Local Indicator","2020 March 12","Monaghan","%","53.1"
"Staying Local Indicator","2020 March 12","Sligo","%","53.4"
"Staying Local Indicator","2020 March 12","Laois","%","50.9"
"Staying Local Indicator","2020 March 12","Longford","%","52.5"
"Staying Local Indicator","2020 March 12","Offaly","%","50.5"
"Staying Local Indicator","2020 March 12","Westmeath","%","57"
"Staying Local Indicator","2020 March 12","Mayo","%","50"
"Staying Local Indicator","2020 March 12","Roscommon","%","49.3"
"Staying Local Indicator","2020 March 12","Dublin","%","74.4"
"Staying Local Indicator","2020 March 12","Kildare","%","53"
"Staying Local Indicator","2020 March 12","Meath","%","53.7"
"Staying Local Indicator","2020 March 12","Wicklow","%","54.6"
"Staying Local Indicator","2020 March 12","Clare","%","53.3"
"Staying Local Indicator","2020 March 12","Carlow","%","49.1"
"Staying Local Indicator","2020 March 12","Kilkenny","%","54.3"
"Staying Local Indicator","2020 March 12","Tipperary","%","51.4"
"Staying Local Indicator","2020 March 12","Wexford","%","52.9"
"Staying Local Indicator","2020 March 12","Kerry","%","56.6"
"Staying Local Indicator","2020 March 12","Cork","%","59.9"
"Staying Local Indicator","2020 March 12","Galway","%","56.2"
"Staying Local Indicator","2020 March 12","Limerick","%","61.1"
"Staying Local Indicator","2020 March 12","Waterford","%","62.4"
"Staying Local Indicator","2020 March 13","State","%","61.5"
"Staying Local Indicator","2020 March 13","Cavan","%","52"
"Staying Local Indicator","2020 March 13","Donegal","%","52.1"
"Staying Local Indicator","2020 March 13","Leitrim","%","50.2"
"Staying Local Indicator","2020 March 13","Louth","%","63"
"Staying Local Indicator","2020 March 13","Monaghan","%","53.7"
"Staying Local Indicator","2020 March 13","Sligo","%","53.7"
"Staying Local Indicator","2020 March 13","Laois","%","51.7"
"Staying Local Indicator","2020 March 13","Longford","%","53.4"
"Staying Local Indicator","2020 March 13","Offaly","%","51.3"
"Staying Local Indicator","2020 March 13","Westmeath","%","57.8"
"Staying Local Indicator","2020 March 13","Mayo","%","50.6"
"Staying Local Indicator","2020 March 13","Roscommon","%","49.9"
"Staying Local Indicator","2020 March 13","Dublin","%","75"
"Staying Local Indicator","2020 March 13","Kildare","%","54.1"
"Staying Local Indicator","2020 March 13","Meath","%","54.9"
"Staying Local Indicator","2020 March 13","Wicklow","%","56"
"Staying Local Indicator","2020 March 13","Clare","%","54.1"
"Staying Local Indicator","2020 March 13","Carlow","%","49.7"
"Staying Local Indicator","2020 March 13","Kilkenny","%","55.3"
"Staying Local Indicator","2020 March 13","Tipperary","%","52.2"
"Staying Local Indicator","2020 March 13","Wexford","%","53.8"
"Staying Local Indicator","2020 March 13","Kerry","%","57.3"
"Staying Local Indicator","2020 March 13","Cork","%","60.9"
"Staying Local Indicator","2020 March 13","Galway","%","56.9"
"Staying Local Indicator","2020 March 13","Limerick","%","61.7"
"Staying Local Indicator","2020 March 13","Waterford","%","63.2"
"Staying Local Indicator","2020 March 14","State","%","62.2"
"Staying Local Indicator","2020 March 14","Cavan","%","52.8"
"Staying Local Indicator","2020 March 14","Donegal","%","52.5"
"Staying Local Indicator","2020 March 14","Leitrim","%","50.8"
"Staying Local Indicator","2020 March 14","Louth","%","63.6"
"Staying Local Indicator","2020 March 14","Monaghan","%","54.3"
"Staying Local Indicator","2020 March 14","Sligo","%","54"
"Staying Local Indicator","2020 March 14","Laois","%","52.5"
"Staying Local Indicator","2020 March 14","Longford","%","54"
"Staying Local Indicator","2020 March 14","Offaly","%","52.2"
"Staying Local Indicator","2020 March 14","Westmeath","%","58.6"
"Staying Local Indicator","2020 March 14","Mayo","%","50.9"
"Staying Local Indicator","2020 March 14","Roscommon","%","50.5"
"Staying Local Indicator","2020 March 14","Dublin","%","75.7"
"Staying Local Indicator","2020 March 14","Kildare","%","55.2"
"Staying Local Indicator","2020 March 14","Meath","%","56"
"Staying Local Indicator","2020 March 14","Wicklow","%","57.3"
"Staying Local Indicator","2020 March 14","Clare","%","54.7"
"Staying Local Indicator","2020 March 14","Carlow","%","50.3"
"Staying Local Indicator","2020 March 14","Kilkenny","%","56.2"
"Staying Local Indicator","2020 March 14","Tipperary","%","52.9"
"Staying Local Indicator","2020 March 14","Wexford","%","54.6"
"Staying Local Indicator","2020 March 14","Kerry","%","57.8"
"Staying Local Indicator","2020 March 14","Cork","%","61.6"
"Staying Local Indicator","2020 March 14","Galway","%","57.5"
"Staying Local Indicator","2020 March 14","Limerick","%","62.4"
"Staying Local Indicator","2020 March 14","Waterford","%","64"
"Staying Local Indicator","2020 March 15","State","%","62.9"
"Staying Local Indicator","2020 March 15","Cavan","%","53.9"
"Staying Local Indicator","2020 March 15","Donegal","%","53.4"
"Staying Local Indicator","2020 March 15","Leitrim","%","51.3"
"Staying Local Indicator","2020 March 15","Louth","%","64.4"
"Staying Local Indicator","2020 March 15","Monaghan","%","55.3"
"Staying Local Indicator","2020 March 15","Sligo","%","54.7"
"Staying Local Indicator","2020 March 15","Laois","%","53.5"
"Staying Local Indicator","2020 March 15","Longford","%","54.8"
"Staying Local Indicator","2020 March 15","Offaly","%","53.2"
"Staying Local Indicator","2020 March 15","Westmeath","%","59.4"
"Staying Local Indicator","2020 March 15","Mayo","%","51.4"
"Staying Local Indicator","2020 March 15","Roscommon","%","51.2"
"Staying Local Indicator","2020 March 15","Dublin","%","76.3"
"Staying Local Indicator","2020 March 15","Kildare","%","56.4"
"Staying Local Indicator","2020 March 15","Meath","%","57.2"
"Staying Local Indicator","2020 March 15","Wicklow","%","58.5"
"Staying Local Indicator","2020 March 15","Clare","%","55.1"
"Staying Local Indicator","2020 March 15","Carlow","%","51"
"Staying Local Indicator","2020 March 15","Kilkenny","%","57.3"
"Staying Local Indicator","2020 March 15","Tipperary","%","53.8"
"Staying Local Indicator","2020 March 15","Wexford","%","55.5"
"Staying Local Indicator","2020 March 15","Kerry","%","58.2"
"Staying Local Indicator","2020 March 15","Cork","%","62.2"
"Staying Local Indicator","2020 March 15","Galway","%","58.1"
"Staying Local Indicator","2020 March 15","Limerick","%","63"
"Staying Local Indicator","2020 March 15","Waterford","%","64.7"
"Staying Local Indicator","2020 March 16","State","%","63.8"
"Staying Local Indicator","2020 March 16","Cavan","%","54.9"
"Staying Local Indicator","2020 March 16","Donegal","%","54.4"
"Staying Local Indicator","2020 March 16","Leitrim","%","52.1"
"Staying Local Indicator","2020 March 16","Louth","%","65.3"
"Staying Local Indicator","2020 March 16","Monaghan","%","56.2"
"Staying Local Indicator","2020 March 16","Sligo","%","55.2"
"Staying Local Indicator","2020 March 16","Laois","%","54.6"
"Staying Local Indicator","2020 March 16","Longford","%","55.6"
"Staying Local Indicator","2020 March 16","Offaly","%","54.2"
"Staying Local Indicator","2020 March 16","Westmeath","%","60.4"
"Staying Local Indicator","2020 March 16","Mayo","%","52.1"
"Staying Local Indicator","2020 March 16","Roscommon","%","52.1"
"Staying Local Indicator","2020 March 16","Dublin","%","76.9"
