"Statistic","Date","County","UNIT","VALUE"
"Staying Local Indicator","2020 January 04","Waterford","%","58.3"
"Staying Local Indicator","2020 January 05","State","%","56.6"
"Staying Local Indicator","2020 January 05","Cavan","%","50.8"
"Staying Local Indicator","2020 January 05","Donegal","%","48.3"
"Staying Local Indicator","2020 January 05","Leitrim","%","47.8"
"Staying Local Indicator","2020 January 05","Louth","%","62"
"Staying Local Indicator","2020 January 05","Monaghan","%","52.3"
"Staying Local Indicator","2020 January 05","Sligo","%","48.1"
"Staying Local Indicator","2020 January 05","Laois","%","49.4"
"Staying Local Indicator","2020 January 05","Longford","%","50.7"
"Staying Local Indicator","2020 January 05","Offaly","%","48.7"
"Staying Local Indicator","2020 January 05","Westmeath","%","55.7"
"Staying Local Indicator","2020 January 05","Mayo","%","46.2"
"Staying Local Indicator","2020 January 05","Roscommon","%","47"
"Staying Local Indicator","2020 January 05","Dublin","%","67.9"
"Staying Local Indicator","2020 January 05","Kildare","%","51.1"
"Staying Local Indicator","2020 January 05","Meath","%","53.6"
"Staying Local Indicator","2020 January 05","Wicklow","%","53.5"
"Staying Local Indicator","2020 January 05","Clare","%","49.8"
"Staying Local Indicator","2020 January 05","Carlow","%","45.2"
"Staying Local Indicator","2020 January 05","Kilkenny","%","52.3"
"Staying Local Indicator","2020 January 05","Tipperary","%","48.9"
"Staying Local Indicator","2020 January 05","Wexford","%","53.1"
"Staying Local Indicator","2020 January 05","Kerry","%","52"
"Staying Local Indicator","2020 January 05","Cork","%","54.9"
"Staying Local Indicator","2020 January 05","Galway","%","49.2"
"Staying Local Indicator","2020 January 05","Limerick","%","55.6"
"Staying Local Indicator","2020 January 05","Waterford","%","59"
"Staying Local Indicator","2020 January 06","State","%","56.7"
"Staying Local Indicator","2020 January 06","Cavan","%","50.1"
"Staying Local Indicator","2020 January 06","Donegal","%","48.2"
"Staying Local Indicator","2020 January 06","Leitrim","%","47.4"
"Staying Local Indicator","2020 January 06","Louth","%","61.6"
"Staying Local Indicator","2020 January 06","Monaghan","%","51.7"
"Staying Local Indicator","2020 January 06","Sligo","%","48.2"
"Staying Local Indicator","2020 January 06","Laois","%","49.1"
"Staying Local Indicator","2020 January 06","Longford","%","50.5"
"Staying Local Indicator","2020 January 06","Offaly","%","48.3"
"Staying Local Indicator","2020 January 06","Westmeath","%","55.4"
"Staying Local Indicator","2020 January 06","Mayo","%","46"
"Staying Local Indicator","2020 January 06","Roscommon","%","46.8"
"Staying Local Indicator","2020 January 06","Dublin","%","68.6"
"Staying Local Indicator","2020 January 06","Kildare","%","50.8"
"Staying Local Indicator","2020 January 06","Meath","%","52.9"
"Staying Local Indicator","2020 January 06","Wicklow","%","53"
"Staying Local Indicator","2020 January 06","Clare","%","49.7"
"Staying Local Indicator","2020 January 06","Carlow","%","45.2"
"Staying Local Indicator","2020 January 06","Kilkenny","%","52.3"
"Staying Local Indicator","2020 January 06","Tipperary","%","48.8"
"Staying Local Indicator","2020 January 06","Wexford","%","52.5"
"Staying Local Indicator","2020 January 06","Kerry","%","51.9"
"Staying Local Indicator","2020 January 06","Cork","%","55"
"Staying Local Indicator","2020 January 06","Galway","%","49.3"
"Staying Local Indicator","2020 January 06","Limerick","%","55.7"
"Staying Local Indicator","2020 January 06","Waterford","%","59.1"
"Staying Local Indicator","2020 January 07","State","%","56.7"
"Staying Local Indicator","2020 January 07","Cavan","%","49.7"
"Staying Local Indicator","2020 January 07","Donegal","%","48.1"
"Staying Local Indicator","2020 January 07","Leitrim","%","47"
"Staying Local Indicator","2020 January 07","Louth","%","61.2"
"Staying Local Indicator","2020 January 07","Monaghan","%","51.4"
"Staying Local Indicator","2020 January 07","Sligo","%","48.4"
"Staying Local Indicator","2020 January 07","Laois","%","48.9"
"Staying Local Indicator","2020 January 07","Longford","%","50.1"
"Staying Local Indicator","2020 January 07","Offaly","%","47.9"
"Staying Local Indicator","2020 January 07","Westmeath","%","55"
"Staying Local Indicator","2020 January 07","Mayo","%","45.9"
"Staying Local Indicator","2020 January 07","Roscommon","%","46.3"
"Staying Local Indicator","2020 January 07","Dublin","%","69"
"Staying Local Indicator","2020 January 07","Kildare","%","50.4"
"Staying Local Indicator","2020 January 07","Meath","%","52.4"
"Staying Local Indicator","2020 January 07","Wicklow","%","52.5"
"Staying Local Indicator","2020 January 07","Clare","%","49.6"
"Staying Local Indicator","2020 January 07","Carlow","%","45.2"
"Staying Local Indicator","2020 January 07","Kilkenny","%","52.2"
"Staying Local Indicator","2020 January 07","Tipperary","%","48.6"
"Staying Local Indicator","2020 January 07","Wexford","%","51.9"
"Staying Local Indicator","2020 January 07","Kerry","%","51.8"
"Staying Local Indicator","2020 January 07","Cork","%","55.1"
"Staying Local Indicator","2020 January 07","Galway","%","49.5"
"Staying Local Indicator","2020 January 07","Limerick","%","55.7"
"Staying Local Indicator","2020 January 07","Waterford","%","59.2"
"Staying Local Indicator","2020 January 08","State","%","56.6"
"Staying Local Indicator","2020 January 08","Cavan","%","48.6"
"Staying Local Indicator","2020 January 08","Donegal","%","47.6"
"Staying Local Indicator","2020 January 08","Leitrim","%","46.3"
"Staying Local Indicator","2020 January 08","Louth","%","60.3"
"Staying Local Indicator","2020 January 08","Monaghan","%","50.2"
"Staying Local Indicator","2020 January 08","Sligo","%","48.4"
"Staying Local Indicator","2020 January 08","Laois","%","48.3"
"Staying Local Indicator","2020 January 08","Longford","%","49.3"
"Staying Local Indicator","2020 January 08","Offaly","%","47"
"Staying Local Indicator","2020 January 08","Westmeath","%","54.2"
"Staying Local Indicator","2020 January 08","Mayo","%","45.6"
"Staying Local Indicator","2020 January 08","Roscommon","%","45.7"
"Staying Local Indicator","2020 January 08","Dublin","%","69.8"
"Staying Local Indicator","2020 January 08","Kildare","%","49.5"
"Staying Local Indicator","2020 January 08","Meath","%","51.1"
"Staying Local Indicator","2020 January 08","Wicklow","%","51.2"
"Staying Local Indicator","2020 January 08","Clare","%","49.2"
"Staying Local Indicator","2020 January 08","Carlow","%","44.8"
"Staying Local Indicator","2020 January 08","Kilkenny","%","51.7"
"Staying Local Indicator","2020 January 08","Tipperary","%","47.9"
"Staying Local Indicator","2020 January 08","Wexford","%","50.8"
"Staying Local Indicator","2020 January 08","Kerry","%","51.6"
"Staying Local Indicator","2020 January 08","Cork","%","55"
"Staying Local Indicator","2020 January 08","Galway","%","49.5"
"Staying Local Indicator","2020 January 08","Limerick","%","55.8"
"Staying Local Indicator","2020 January 08","Waterford","%","58.8"
"Staying Local Indicator","2020 January 09","State","%","56.5"
"Staying Local Indicator","2020 January 09","Cavan","%","47.9"
"Staying Local Indicator","2020 January 09","Donegal","%","47.2"
"Staying Local Indicator","2020 January 09","Leitrim","%","45.9"
"Staying Local Indicator","2020 January 09","Louth","%","59.9"
"Staying Local Indicator","2020 January 09","Monaghan","%","49.6"
"Staying Local Indicator","2020 January 09","Sligo","%","48.1"
"Staying Local Indicator","2020 January 09","Laois","%","47.9"
"Staying Local Indicator","2020 January 09","Longford","%","48.9"
"Staying Local Indicator","2020 January 09","Offaly","%","46.7"
"Staying Local Indicator","2020 January 09","Westmeath","%","53.8"
"Staying Local Indicator","2020 January 09","Mayo","%","45.4"
"Staying Local Indicator","2020 January 09","Roscommon","%","45.4"
"Staying Local Indicator","2020 January 09","Dublin","%","70.3"
"Staying Local Indicator","2020 January 09","Kildare","%","49.3"
"Staying Local Indicator","2020 January 09","Meath","%","50.6"
"Staying Local Indicator","2020 January 09","Wicklow","%","50.8"
"Staying Local Indicator","2020 January 09","Clare","%","49"
"Staying Local Indicator","2020 January 09","Carlow","%","44.4"
"Staying Local Indicator","2020 January 09","Kilkenny","%","51.2"
"Staying Local Indicator","2020 January 09","Tipperary","%","47.6"
"Staying Local Indicator","2020 January 09","Wexford","%","50"
"Staying Local Indicator","2020 January 09","Kerry","%","51.4"
"Staying Local Indicator","2020 January 09","Cork","%","55"
"Staying Local Indicator","2020 January 09","Galway","%","49.7"
"Staying Local Indicator","2020 January 09","Limerick","%","55.9"
"Staying Local Indicator","2020 January 09","Waterford","%","58.6"
"Staying Local Indicator","2020 January 10","State","%","56.5"
"Staying Local Indicator","2020 January 10","Cavan","%","47.5"
"Staying Local Indicator","2020 January 10","Donegal","%","47"
"Staying Local Indicator","2020 January 10","Leitrim","%","45.7"
"Staying Local Indicator","2020 January 10","Louth","%","59.6"
"Staying Local Indicator","2020 January 10","Monaghan","%","49.3"
"Staying Local Indicator","2020 January 10","Sligo","%","48.1"
"Staying Local Indicator","2020 January 10","Laois","%","47.8"
"Staying Local Indicator","2020 January 10","Longford","%","48.6"
"Staying Local Indicator","2020 January 10","Offaly","%","46.4"
"Staying Local Indicator","2020 January 10","Westmeath","%","53.6"
"Staying Local Indicator","2020 January 10","Mayo","%","45.2"
"Staying Local Indicator","2020 January 10","Roscommon","%","45.3"
"Staying Local Indicator","2020 January 10","Dublin","%","70.6"
"Staying Local Indicator","2020 January 10","Kildare","%","49.1"
"Staying Local Indicator","2020 January 10","Meath","%","50.2"
"Staying Local Indicator","2020 January 10","Wicklow","%","50.5"
"Staying Local Indicator","2020 January 10","Clare","%","48.8"
"Staying Local Indicator","2020 January 10","Carlow","%","44.2"
"Staying Local Indicator","2020 January 10","Kilkenny","%","51"
"Staying Local Indicator","2020 January 10","Tipperary","%","47.5"
"Staying Local Indicator","2020 January 10","Wexford","%","49.5"
"Staying Local Indicator","2020 January 10","Kerry","%","51.5"
"Staying Local Indicator","2020 January 10","Cork","%","55.1"
"Staying Local Indicator","2020 January 10","Galway","%","49.9"
"Staying Local Indicator","2020 January 10","Limerick","%","55.9"
"Staying Local Indicator","2020 January 10","Waterford","%","58.6"
"Staying Local Indicator","2020 January 11","State","%","56.7"
"Staying Local Indicator","2020 January 11","Cavan","%","47.6"
"Staying Local Indicator","2020 January 11","Donegal","%","46.9"
"Staying Local Indicator","2020 January 11","Leitrim","%","45.6"
"Staying Local Indicator","2020 January 11","Louth","%","59.6"
"Staying Local Indicator","2020 January 11","Monaghan","%","49.3"
"Staying Local Indicator","2020 January 11","Sligo","%","48.3"
"Staying Local Indicator","2020 January 11","Laois","%","48"
"Staying Local Indicator","2020 January 11","Longford","%","48.8"
"Staying Local Indicator","2020 January 11","Offaly","%","46.5"
"Staying Local Indicator","2020 January 11","Westmeath","%","53.6"
"Staying Local Indicator","2020 January 11","Mayo","%","45.3"
"Staying Local Indicator","2020 January 11","Roscommon","%","45.4"
"Staying Local Indicator","2020 January 11","Dublin","%","70.9"
"Staying Local Indicator","2020 January 11","Kildare","%","49.3"
"Staying Local Indicator","2020 January 11","Meath","%","50.2"
"Staying Local Indicator","2020 January 11","Wicklow","%","50.8"
"Staying Local Indicator","2020 January 11","Clare","%","48.8"
"Staying Local Indicator","2020 January 11","Carlow","%","44.5"
"Staying Local Indicator","2020 January 11","Kilkenny","%","51.4"
"Staying Local Indicator","2020 January 11","Tipperary","%","47.7"
"Staying Local Indicator","2020 January 11","Wexford","%","49.6"
