Date,County,VALUE
2020-10-26,State,59.5
2020-10-27,State,60.1
2020-10-28,State,61.0
2020-10-29,State,61.2
2020-10-30,State,61.2
2020-10-31,State,61.0
2020-01-11,State,62.7
2020-02-11,State,62.6
2020-03-11,State,62.8
2020-04-11,State,62.9
2020-05-11,State,62.7
2020-06-11,State,62.5
2020-07-11,State,62.7
2020-08-11,State,61.2
2020-09-11,State,60.7
2020-10-11,State,60.5
2020-11-11,State,60.6
2020-12-11,State,60.6
2020-11-13,State,60.7
2020-11-14,State,60.6
2020-11-15,State,60.5
2020-11-16,State,60.4
2020-11-17,State,60.1
2020-11-18,State,59.7
2020-11-19,State,59.4
2020-11-20,State,59.4
2020-11-21,State,59.1
2020-11-22,State,58.8
2020-11-23,State,58.7
2020-11-24,State,58.7
2020-11-25,State,58.5
2020-11-26,State,58.5
2020-11-27,State,58.3
2020-11-28,State,58.3
2020-11-29,State,58.3
2020-11-30,State,58.3
2020-01-12,State,58.3
2020-02-12,State,58.3
2020-03-12,State,58.1
2020-04-12,State,57.6
2020-05-12,State,57.9
2020-06-12,State,57.5
2020-07-12,State,57.2
2020-08-12,State,56.6
2020-09-12,State,56.4
2020-10-12,State,56.2
2020-11-12,State,55.9
2020-12-12,State,55.4
2020-12-13,State,55.3
2020-12-14,State,55.0
2020-12-15,State,54.8
2020-12-16,State,54.5
2020-12-17,State,54.3
2020-12-18,State,54.1
2020-12-19,State,53.9
2020-12-20,State,53.2
2020-12-21,State,52.8
2020-12-22,State,52.3
2020-12-23,State,51.8
2020-12-24,State,51.7
2020-12-25,State,52.8
2020-12-26,State,53.5
2020-12-27,State,54.1
2020-12-28,State,55.0
2020-12-29,State,55.8
2020-12-30,State,56.5
2020-12-31,State,57.4
2021-01-01,State,59.5
2021-02-01,State,61.8
2021-03-01,State,63.7
2021-04-01,State,65.0
2021-05-01,State,66.4
2021-06-01,State,67.7
2021-07-01,State,68.6
2021-08-01,State,67.5
2021-09-01,State,66.6
2021-10-01,State,66.4
2021-11-01,State,66.3
2021-12-01,State,66.2
2021-01-13,State,66.3
2021-01-14,State,66.2
2021-01-15,State,66.2
2021-01-16,State,66.1
2021-01-17,State,66.1
2021-01-18,State,66.0
2021-01-19,State,65.8
2021-01-20,State,65.8
2021-01-21,State,65.8
2021-01-22,State,65.7
2021-01-23,State,65.7
2021-01-24,State,65.9
2021-01-25,State,66.0
2021-01-26,State,65.9
2021-01-27,State,65.8
2021-01-28,State,65.8
2021-01-29,State,65.6
2021-01-30,State,65.8
2021-01-31,State,65.9
2021-01-02,State,66.5
2021-02-02,State,67.1
2021-03-02,State,67.5
2021-04-02,State,67.8
2021-05-02,State,68.1
2021-06-02,State,68.4
2021-07-02,State,68.7
2021-08-02,State,68.5
2021-09-02,State,67.1
2021-10-02,State,66.7
2021-11-02,State,66.7
2021-12-02,State,66.7
2021-02-13,State,67.0
2021-02-14,State,67.0
2021-02-15,State,66.8
2021-02-16,State,66.3
2021-02-17,State,65.9
2021-02-18,State,65.2
2021-02-19,State,64.8
2021-02-20,State,64.4
2021-02-21,State,63.7
2021-02-22,State,63.6
2021-02-23,State,64.0
2021-02-24,State,64.2
2021-02-25,State,64.1
2021-02-26,State,63.8
2021-02-27,State,63.3
2021-02-28,State,63.3
2021-01-03,State,63.5
2021-02-03,State,63.7
2021-03-03,State,63.7
2021-04-03,State,63.8
2021-05-03,State,63.8
2021-06-03,State,63.8
2021-07-03,State,64.2
2021-08-03,State,64.3
2021-09-03,State,64.4
2021-10-03,State,64.8
2021-11-03,State,65.2
2021-12-03,State,65.7
2021-03-13,State,65.9
2021-03-14,State,66.0
2021-03-15,State,65.8
2021-03-16,State,65.3
2021-03-17,State,65.4
2021-03-18,State,65.3
2021-03-19,State,65.1
